throughput tt=0.191484  s=15.9163 is t=3.04771
throughput tt=0.273035  s=22.3247 is t=6.09543
throughput tt=0.273237  s=33.4624 is t=9.14314
throughput tt=0.323195  s=37.7198 is t=12.1909
throughput tt=0.492878  s=30.9175 is t=15.2386
throughput tt=0.409843  s=44.6178 is t=18.2863
throughput tt=0.648665  s=32.8891 is t=21.334
throughput tt=0.500987  s=48.6674 is t=24.3817
throughput tt=0.544474  s=50.3778 is t=27.4294
throughput tt=0.920515  s=33.1088 is t=30.4771
throughput tt=0.677789  s=49.4621 is t=33.5248
throughput tt=1.00377  s=36.435 is t=36.5726
throughput tt=0.72923  s=54.3317 is t=39.6203
throughput tt=1.22505  s=34.8295 is t=42.668
throughput tt=0.818184  s=55.8746 is t=45.7157
throughput tt=0.866991  s=56.2444 is t=48.7634
throughput tt=0.906363  s=57.1638 is t=51.8111
throughput tt=0.951332  s=57.6653 is t=54.8588
throughput tt=1.07147  s=54.044 is t=57.9066
throughput tt=1.03819  s=58.712 is t=60.9543
throughput tt=1.09041  s=58.6952 is t=64.002
throughput tt=1.13823  s=58.907 is t=67.0497
throughput tt=1.92551  s=36.4047 is t=70.0974
throughput tt=1.22653  s=59.636 is t=73.1451
throughput tt=1.26063  s=60.4405 is t=76.1928
throughput tt=1.3203  s=60.0169 is t=79.2405
throughput tt=1.35819  s=60.5866 is t=82.2883
throughput tt=1.39114  s=61.3426 is t=85.336
throughput tt=1.45164  s=60.8853 is t=88.3837
throughput tt=2.33578  s=39.1439 is t=91.4314
throughput tt=1.53598  s=61.5106 is t=94.4791
throughput tt=1.58726  s=61.4435 is t=97.5268
throughput tt=1.63487  s=61.5185 is t=100.575
throughput tt=2.76332  s=37.4992 is t=103.622
throughput tt=1.84972  s=57.668 is t=106.67
throughput tt=1.77098  s=61.9531 is t=109.718
throughput tt=2.84173  s=39.6819 is t=112.765
throughput tt=1.8585  s=62.3154 is t=115.813
throughput tt=1.89425  s=62.7483 is t=118.861
throughput tt=1.92966  s=63.1761 is t=121.909
throughput tt=1.98736  s=62.8754 is t=124.956
throughput tt=2.18844  s=58.4909 is t=128.004
throughput tt=3.27944  s=39.9616 is t=131.052
throughput tt=3.21812  s=41.6701 is t=134.099
throughput tt=3.38533  s=40.5122 is t=137.147
throughput tt=2.0224  s=69.3211 is t=140.195
throughput tt=2.02969  s=70.5738 is t=143.243
throughput tt=2.06391  s=70.88 is t=146.29
throughput tt=2.08571  s=71.6006 is t=149.338
throughput tt=3.71254  s=41.0462 is t=152.386
throughput tt=2.05722  s=75.5552 is t=155.433
throughput tt=2.0224  s=78.363 is t=158.481
throughput tt=3.21812  s=50.1935 is t=161.529
throughput tt=2.06194  s=79.8165 is t=164.577
throughput tt=2.03623  s=82.3207 is t=167.624
throughput tt=2.02427  s=84.3129 is t=170.672
throughput tt=2.63189  s=66.0056 is t=173.72
throughput tt=2.08248  s=84.883 is t=176.767
throughput tt=2.58544  s=69.5492 is t=179.815
throughput tt=2.18844  s=83.5585 is t=182.863
throughput tt=2.64293  s=70.3425 is t=185.911
throughput tt=2.02932  s=93.1142 is t=188.958
throughput tt=3.414  s=56.2408 is t=192.006
throughput tt=4.24718  s=45.9255 is t=195.054
throughput tt=3.32854  s=59.516 is t=198.101
throughput tt=2.9058  s=69.2232 is t=201.149
throughput tt=2.71034  s=75.3399 is t=204.197
throughput tt=2.04315  s=101.434 is t=207.245
throughput tt=4.19611  s=50.1159 is t=210.292
throughput tt=2.61308  s=81.6432 is t=213.34
throughput tt=2.87468  s=75.2737 is t=216.388
throughput tt=3.91338  s=56.0731 is t=219.435
throughput tt=2.83038  s=78.6054 is t=222.483
throughput tt=2.13299  s=105.734 is t=225.531
throughput tt=2.03623  s=112.256 is t=228.578
throughput tt=4.6347  s=49.9766 is t=231.626
throughput tt=3.21105  s=73.0833 is t=234.674
throughput tt=4.51805  s=52.6159 is t=237.722
throughput tt=2.14903  s=112.036 is t=240.769
throughput tt=4.59008  s=53.1183 is t=243.817
throughput tt=3.38854  s=72.8528 is t=246.865
throughput tt=2.313  s=108.047 is t=249.912
throughput tt=3.18225  s=79.4911 is t=252.96
throughput tt=5.02051  s=50.9925 is t=256.008
throughput tt=4.8784  s=53.1025 is t=259.056
throughput tt=3.61704  s=72.4634 is t=262.103
throughput tt=4.87641  s=54.3742 is t=265.151
throughput tt=2.22743  s=120.407 is t=268.199
throughput tt=6.4242  s=42.2226 is t=271.246
throughput tt=6.97007  s=39.3532 is t=274.294
throughput tt=3.81694  s=72.6608 is t=277.342
throughput tt=3.68647  s=76.0592 is t=280.39
throughput tt=2.64252  s=107.26 is t=283.437
throughput tt=3.37051  s=84.9974 is t=286.485
throughput tt=2.65098  s=109.217 is t=289.533
throughput tt=3.55234  s=82.3627 is t=292.58
throughput tt=3.65344  s=80.9177 is t=295.628
throughput tt=3.86132  s=77.3507 is t=298.676
throughput tt=3.70467  s=81.4442 is t=301.724
