throughput tt=0.058461  s=5.98689 is t=0.349999
throughput tt=0.0612842  s=11.4222 is t=0.699999
throughput tt=0.0641071  s=16.3788 is t=1.05
throughput tt=0.0669302  s=20.9173 is t=1.4
throughput tt=0.0697534  s=25.0883 is t=1.75
throughput tt=0.0725764  s=28.935 is t=2.1
throughput tt=0.0753996  s=32.4935 is t=2.45
throughput tt=0.0782227  s=35.7952 is t=2.8
throughput tt=0.0810458  s=38.8669 is t=3.14999
throughput tt=0.0838689  s=41.7317 is t=3.49999
throughput tt=0.0866918  s=44.4101 is t=3.84999
throughput tt=0.089515  s=46.9194 is t=4.19999
throughput tt=0.092338  s=49.2754 is t=4.54999
throughput tt=0.0951611  s=51.4916 is t=4.89999
throughput tt=0.0979843  s=53.5799 is t=5.24999
throughput tt=0.100807  s=55.5514 is t=5.59999
throughput tt=0.10363  s=57.4155 is t=5.94999
throughput tt=0.106454  s=59.1806 is t=6.29999
throughput tt=0.109277  s=60.8546 is t=6.64999
throughput tt=0.1121  s=62.4443 is t=6.99999
throughput tt=0.114923  s=63.9559 is t=7.34999
throughput tt=0.117746  s=65.395 is t=7.69999
throughput tt=0.120569  s=66.7667 is t=8.04999
throughput tt=0.123392  s=68.0757 is t=8.39999
throughput tt=0.126215  s=69.326 is t=8.74999
throughput tt=0.129038  s=70.5217 is t=9.09999
throughput tt=0.131861  s=71.6661 is t=9.44998
throughput tt=0.134684  s=72.7626 is t=9.79998
throughput tt=0.137507  s=73.814 is t=10.15
throughput tt=0.14033  s=74.8233 is t=10.5
throughput tt=0.148358  s=73.134 is t=10.85
throughput tt=0.151181  s=74.0834 is t=11.2
throughput tt=0.154004  s=74.9981 is t=11.55
throughput tt=0.156827  s=75.8797 is t=11.9
throughput tt=0.15965  s=76.7303 is t=12.25
throughput tt=0.162473  s=77.5513 is t=12.6
throughput tt=0.165296  s=78.3441 is t=12.95
throughput tt=0.168119  s=79.1105 is t=13.3
throughput tt=0.170942  s=79.8514 is t=13.65
throughput tt=0.195525  s=85.3993 is t=16.6977
throughput tt=0.220108  s=89.7079 is t=19.7454
throughput tt=0.249895  s=91.2109 is t=22.7931
throughput tt=0.274477  s=94.1456 is t=25.8408
throughput tt=0.29906  s=96.5978 is t=28.8885
throughput tt=0.323643  s=98.6775 is t=31.9363
throughput tt=0.353429  s=98.9843 is t=34.984
throughput tt=0.378012  s=100.61 is t=38.0317
throughput tt=0.402595  s=102.037 is t=41.0794
throughput tt=0.432382  s=102.056 is t=44.1271
throughput tt=0.456965  s=103.235 is t=47.1748
throughput tt=0.481547  s=104.294 is t=50.2225
throughput tt=0.50613  s=105.25 is t=53.2703
throughput tt=0.535917  s=105.087 is t=56.318
