throughput tt=0.168825  s=18.0525 is t=3.04771
throughput tt=0.196792  s=30.9739 is t=6.09543
throughput tt=0.22476  s=40.6796 is t=9.14314
throughput tt=0.252727  s=48.2372 is t=12.1909
throughput tt=0.289151  s=52.701 is t=15.2386
throughput tt=0.433219  s=42.2102 is t=18.2863
throughput tt=0.460569  s=46.321 is t=21.334
throughput tt=0.488948  s=49.8656 is t=24.3817
throughput tt=0.516504  s=53.1059 is t=27.4294
throughput tt=0.544471  s=55.9756 is t=30.4771
throughput tt=0.696463  s=48.1358 is t=33.5248
throughput tt=0.724593  s=50.4733 is t=36.5726
throughput tt=0.752725  s=52.6358 is t=39.6203
throughput tt=0.781722  s=54.582 is t=42.668
throughput tt=0.808248  s=56.5615 is t=45.7157
throughput tt=0.96102  s=50.7413 is t=48.7634
throughput tt=0.988781  s=52.399 is t=51.8111
throughput tt=1.01695  s=53.9442 is t=54.8588
throughput tt=1.04492  s=55.4171 is t=57.9066
throughput tt=1.07359  s=56.7761 is t=60.9543
throughput tt=1.22393  s=52.2921 is t=64.002
throughput tt=1.31276  s=51.0753 is t=67.0497
throughput tt=1.29723  s=54.0362 is t=70.0974
throughput tt=1.30919  s=55.8704 is t=73.1451
throughput tt=1.33753  s=56.9653 is t=76.1928
throughput tt=1.43288  s=55.3015 is t=79.2405
throughput tt=1.51728  s=54.234 is t=82.2883
throughput tt=1.55912  s=54.7333 is t=85.336
throughput tt=1.57334  s=56.1758 is t=88.3837
throughput tt=1.63471  s=55.9312 is t=91.4314
throughput tt=1.6743  s=56.4291 is t=94.4791
throughput tt=1.84101  s=52.9745 is t=97.5268
throughput tt=1.86812  s=53.8374 is t=100.575
throughput tt=1.89435  s=54.7006 is t=103.622
throughput tt=1.92405  s=55.4403 is t=106.67
throughput tt=1.95029  s=56.2571 is t=109.718
throughput tt=2.10397  s=53.5965 is t=112.765
throughput tt=2.13189  s=54.3241 is t=115.813
throughput tt=2.16023  s=55.0222 is t=118.861
throughput tt=2.18816  s=55.7129 is t=121.909
throughput tt=2.21699  s=56.363 is t=124.956
throughput tt=2.3677  s=54.0626 is t=128.004
throughput tt=2.3974  s=54.6641 is t=131.052
throughput tt=2.42417  s=55.3175 is t=134.099
throughput tt=2.45037  s=55.97 is t=137.147
throughput tt=2.48064  s=56.5155 is t=140.195
throughput tt=2.516  s=56.9327 is t=143.243
throughput tt=2.65772  s=55.0435 is t=146.29
throughput tt=2.69261  s=55.4622 is t=149.338
throughput tt=2.7158  s=56.1109 is t=152.386
throughput tt=2.74768  s=56.569 is t=155.433
throughput tt=2.7688  s=57.2381 is t=158.481
throughput tt=2.92755  s=55.1755 is t=161.529
throughput tt=2.95317  s=55.7288 is t=164.577
throughput tt=2.97916  s=56.2656 is t=167.624
throughput tt=3.03956  s=56.1502 is t=170.672
throughput tt=3.0367  s=57.2067 is t=173.72
throughput tt=3.19137  s=55.3892 is t=176.767
throughput tt=3.21801  s=55.8776 is t=179.815
throughput tt=3.24467  s=56.358 is t=182.863
throughput tt=3.29944  s=56.3461 is t=185.911
throughput tt=3.30044  s=57.2525 is t=188.958
throughput tt=3.45251  s=55.6135 is t=192.006
throughput tt=3.48151  s=56.0255 is t=195.054
throughput tt=3.51017  s=56.4363 is t=198.101
throughput tt=3.5591  s=56.5168 is t=201.149
throughput tt=3.62268  s=56.3661 is t=204.197
throughput tt=3.65877  s=56.6432 is t=207.245
throughput tt=3.8031  s=55.295 is t=210.292
throughput tt=3.7702  s=56.5858 is t=213.34
throughput tt=3.81931  s=56.6562 is t=216.388
throughput tt=3.8596  s=56.8545 is t=219.435
throughput tt=3.86209  s=57.6068 is t=222.483
throughput tt=4.00889  s=56.2576 is t=225.531
throughput tt=4.09669  s=55.7958 is t=228.578
throughput tt=4.12421  s=56.1626 is t=231.626
throughput tt=4.15061  s=56.5396 is t=234.674
throughput tt=4.16663  s=57.0537 is t=237.722
throughput tt=4.33073  s=55.5955 is t=240.769
throughput tt=4.35487  s=55.9872 is t=243.817
throughput tt=4.38881  s=56.2487 is t=246.865
throughput tt=4.41295  s=56.6317 is t=249.912
throughput tt=4.44627  s=56.8927 is t=252.96
throughput tt=4.59628  s=55.6989 is t=256.008
throughput tt=4.62252  s=56.0421 is t=259.056
throughput tt=4.64822  s=56.3879 is t=262.103
throughput tt=4.67746  s=56.6869 is t=265.151
throughput tt=4.71268  s=56.91 is t=268.199
throughput tt=4.74371  s=57.1803 is t=271.246
throughput tt=4.88975  s=56.0957 is t=274.294
throughput tt=4.91743  s=56.3998 is t=277.342
throughput tt=4.94355  s=56.7183 is t=280.39
throughput tt=5.00424  s=56.6394 is t=283.437
throughput tt=5.00154  s=57.2793 is t=286.485
throughput tt=5.15172  s=56.2012 is t=289.533
throughput tt=5.17915  s=56.492 is t=292.58
throughput tt=5.20642  s=56.7815 is t=295.628
throughput tt=5.2357  s=57.046 is t=298.676
throughput tt=5.30943  s=56.8279 is t=301.724
