throughput tt=0.0960658  s=3.64333 is t=0.349999
throughput tt=0.100062  s=6.99567 is t=0.699999
throughput tt=0.104058  s=10.0905 is t=1.05
throughput tt=0.108054  s=12.9565 is t=1.4
throughput tt=0.11205  s=15.618 is t=1.75
throughput tt=0.116046  s=18.0963 is t=2.1
throughput tt=0.120042  s=20.4096 is t=2.45
throughput tt=0.124038  s=22.5738 is t=2.8
throughput tt=0.128034  s=24.6029 is t=3.14999
throughput tt=0.13203  s=26.5092 is t=3.49999
throughput tt=0.136026  s=28.3035 is t=3.84999
throughput tt=0.140021  s=29.9953 is t=4.19999
throughput tt=0.144017  s=31.5933 is t=4.54999
throughput tt=0.148013  s=33.105 is t=4.89999
throughput tt=0.152009  s=34.5373 is t=5.24999
throughput tt=0.156005  s=35.8961 is t=5.59999
throughput tt=0.160001  s=37.1871 is t=5.94999
throughput tt=0.163997  s=38.4152 is t=6.29999
throughput tt=0.167993  s=39.5848 is t=6.64999
throughput tt=0.171989  s=40.7001 is t=6.99999
throughput tt=0.175985  s=41.7648 is t=7.34999
throughput tt=0.179981  s=42.7822 is t=7.69999
throughput tt=0.183977  s=43.7553 is t=8.04999
throughput tt=0.187973  s=44.6872 is t=8.39999
throughput tt=0.191969  s=45.5802 is t=8.74999
throughput tt=0.195965  s=46.4368 is t=9.09999
throughput tt=0.199961  s=47.2591 is t=9.44998
throughput tt=0.203957  s=48.0492 is t=9.79998
throughput tt=0.207953  s=48.809 is t=10.15
throughput tt=0.211949  s=49.5401 is t=10.5
throughput tt=0.221149  s=49.0619 is t=10.85
throughput tt=0.225145  s=49.7456 is t=11.2
throughput tt=0.229141  s=50.4056 is t=11.55
throughput tt=0.233137  s=51.0429 is t=11.9
throughput tt=0.237133  s=51.6587 is t=12.25
throughput tt=0.241129  s=52.2541 is t=12.6
throughput tt=0.245125  s=52.8301 is t=12.95
throughput tt=0.249121  s=53.3877 is t=13.3
throughput tt=0.253117  s=53.9276 is t=13.65
throughput tt=0.287913  s=57.9957 is t=16.6977
throughput tt=0.322709  s=61.1864 is t=19.7454
throughput tt=0.362709  s=62.8414 is t=22.7931
throughput tt=0.397505  s=65.0076 is t=25.8408
throughput tt=0.432301  s=66.8251 is t=28.8885
throughput tt=0.467097  s=68.3718 is t=31.9363
throughput tt=0.507097  s=68.9887 is t=34.984
throughput tt=0.541893  s=70.183 is t=38.0317
throughput tt=0.576689  s=71.2332 is t=41.0794
throughput tt=0.616689  s=71.5549 is t=44.1271
throughput tt=0.651485  s=72.4112 is t=47.1748
throughput tt=0.686281  s=73.1807 is t=50.2225
throughput tt=0.721077  s=73.876 is t=53.2703
throughput tt=0.761077  s=73.9977 is t=56.318
throughput tt=0.795873  s=74.5919 is t=59.3657
throughput tt=0.830669  s=75.1363 is t=62.4134
throughput tt=0.870669  s=75.1848 is t=65.4611
throughput tt=0.905465  s=75.6615 is t=68.5088
throughput tt=0.940261  s=76.1028 is t=71.5565
throughput tt=0.975057  s=76.5127 is t=74.6042
throughput tt=1.01506  s=76.5001 is t=77.652
throughput tt=1.04985  s=76.8676 is t=80.6997
throughput tt=1.08465  s=77.2115 is t=83.7474
throughput tt=1.12465  s=77.1753 is t=86.7951
throughput tt=1.15945  s=77.4878 is t=89.8428
throughput tt=1.19424  s=77.7821 is t=92.8905
throughput tt=1.23422  s=77.7317 is t=95.9382
throughput tt=1.26904  s=78.0008 is t=98.9859
throughput tt=1.30383  s=78.2567 is t=102.034
throughput tt=1.33863  s=78.4992 is t=105.081
throughput tt=1.37863  s=78.4323 is t=108.129
throughput tt=1.41343  s=78.6577 is t=111.177
throughput tt=1.44822  s=78.8723 is t=114.225
throughput tt=1.48302  s=79.0768 is t=117.272
throughput tt=1.52302  s=79.001 is t=120.32
throughput tt=1.55781  s=79.1928 is t=123.368
throughput tt=1.59261  s=79.3763 is t=126.415
throughput tt=1.70394  s=75.9788 is t=129.463
throughput tt=1.73865  s=76.2146 is t=132.511
throughput tt=1.77955  s=76.1757 is t=135.559
throughput tt=1.80882  s=76.628 is t=138.606
throughput tt=1.84825  s=76.6424 is t=141.654
throughput tt=1.88304  s=76.8446 is t=144.702
throughput tt=1.91784  s=77.0395 is t=147.749
throughput tt=1.95907  s=76.9738 is t=150.797
throughput tt=1.99676  s=77.0473 is t=153.845
throughput tt=2.02743  s=77.3849 is t=156.893
throughput tt=2.06395  s=77.4922 is t=159.94
throughput tt=2.10412  s=77.4614 is t=162.988
throughput tt=2.13908  s=77.6202 is t=166.036
throughput tt=2.17182  s=77.8534 is t=169.083
throughput tt=2.21182  s=77.8233 is t=172.131
throughput tt=2.24916  s=77.8862 is t=175.179
throughput tt=2.28561  s=77.9775 is t=178.226
throughput tt=2.31621  s=78.2634 is t=181.274
throughput tt=2.35925  s=78.1273 is t=184.322
throughput tt=2.39421  s=78.2594 is t=187.37
throughput tt=2.43272  s=78.2735 is t=190.417
throughput tt=2.47272  s=78.2399 is t=193.465
throughput tt=2.50059  s=78.5864 is t=196.513
throughput tt=2.53539  s=78.71 is t=199.56
throughput tt=2.57019  s=78.8302 is t=202.608
throughput tt=2.61291  s=78.7077 is t=205.656
throughput tt=2.64498  s=78.9055 is t=208.704
throughput tt=2.67978  s=79.0182 is t=211.751
throughput tt=2.71978  s=78.9767 is t=214.799
throughput tt=2.75457  s=79.0855 is t=217.847
throughput tt=2.78937  s=79.1915 is t=220.894
throughput tt=2.82417  s=79.295 is t=223.942
throughput tt=2.86573  s=79.2083 is t=226.99
throughput tt=2.90037  s=79.3133 is t=230.038
throughput tt=2.93376  s=79.4494 is t=233.085
throughput tt=2.98068  s=79.2213 is t=236.133
throughput tt=3.00855  s=79.5002 is t=239.181
throughput tt=3.04952  s=79.4316 is t=242.228
throughput tt=3.08449  s=79.5193 is t=245.276
throughput tt=3.11815  s=79.6383 is t=248.324
throughput tt=3.15294  s=79.726 is t=251.372
throughput tt=3.18774  s=79.8119 is t=254.419
throughput tt=3.30583  s=77.8828 is t=257.467
